32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .	were made up of	32.7 % of all households	individuals
A CEN forms an important but small part of a Local Strategic Partnership .	forms	A CEN	an important part of a Local Strategic Partnership
A CEN forms an important but small part of a Local Strategic Partnership .	forms	A CEN	a small part of a Local Strategic Partnership
A CEN forms an important but small part of a Local Strategic Partnership .	is	a Strategic Partnership	Local
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	became	he	the youngest mayor in  Pittsburgh 's history
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	was	he	A Democrat
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	was	the youngest mayor in Pittsburgh 's history	A Democrat
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	became	he	the youngest mayor in the history of
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	became the youngest mayor in Pittsburgh 's history at	he	the age of 26
A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .	was	the youngest mayor in Pittsburgh 's history	26
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	is also located	A cafeteria	on the sixth floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	is located	a chapel	on the 14th floor
A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .	is located	a study hall	on the 15th floor
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	was followed with the establishment of the	A common name , logo , and programming schedule	`` TV8 '' network between the three stations
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	changed to the	the `` TV8 '' network	`` Southern Cross Network ''
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	was establishment	`` TV8 '' network	between the three stations
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	was the established common name between	`` TV8 '' network	the three stations
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	is set up by	A cooling center	local authorities
A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .	is not the	A `` prime '' manifold , a connected sum of more than one manifold ,	sphere of the same dimension
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	ordered to stop printing	court	for three months
A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .	was under	`` Not That Respublika ''	other titles
A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .	are held in	few long-track motorcycle speedway meetings	the UK
A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .	may use	turbomachinery	one or more centrifugal compressors
A short distance to the east , NC 111 diverges on Greenwood Boulevard .	diverges on	NC 111	Greenwood Boulevard
A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .	has	A spectrum from a single FID	a low signal-to-noise ratio
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	According to Samaritan tradition is not derived from	the Samaritan ethnonym	the region of Samaria
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	were the `` Guardians '' of	the Samaritans	the true Israelite religion
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	is	Samaritan	an ethnonym
According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .	is	Samaria	a region
According to the 2010 census , the population of the town is 2,310 .	According to the 2010 census is	the population of the town	2,310
According to the 2010 census , the population of the town is 2,310 .	is	the population of	2,310
According to the 2010 census , the population of the town is 2,310 .	was in	the census	2010
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	is accused of defrauding	Gonzalez	the West Bronx Neighborhood Association Inc.
According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .	is a not-for-profit corporation	the West Bronx Neighborhood Association Inc	
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	ceased	cable hauling	After 1895
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	pulled	locomotives	trains
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	pulled	locomotives	trains
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	is in	a tunnel	Victoria
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	is in	a tunnel	Waterloo
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	found	the Colonials	a primitive , lush and vibrant new world
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	named a new world	the Colonials	Earth
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	was	the new world	primitive
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	was	the new world	vibrant
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	was	the new world	lush
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	was	the new world	Earth
After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .	were searching	the Colonials	five years
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	guest starred as	Cole	Lilith
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	left	Cole	`` Hex ''
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	was	`` Jane Eyre ''	a TV serial for the BBC
After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .	had	`` Doctor Who ''	`` The Shakespeare Code '' episode
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	rested in	Battra	the Arctic Ocean
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	retired to	Mothra	Infant Island
After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .	was accompanied by	Mothra	the two Cosmos
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	were arrested in	many of the republicans	Free State `` round ups ''
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	had come out of	many of the republicans	hiding
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	had returned	many of the republicans	home
After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .	were arrested in	many of the republicans	Free State `` round ups ''
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	broke	Knievel	his arms
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	caused	Knievel's accident	permanent injury to the cameraman
Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .	was permanent	injury to the cameraman	
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	was under constant attack from	`` Hazelwood ''	kamikazes
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	was under constant attack from	`` Hazelwood ''	fighters
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	was under constant attack from	`` Hazelwood ''	dive-bombers
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	came through untouched	`` Hazelwood ''	the invasion
Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .	sank with her guns	`` Hazelwood ''	two small enemy freighters
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was published	An original limited artist edition of 250	in 1989
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was	An original limited artist edition of 250	an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was inset into	a digital clock	the front cover
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	had	an oversized fine press slip-cased book	stainless steel faced boards
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	had	an oversized fine press slip-cased book	a digital clock inset into the front cover
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was digital	the clock inset into the front cover	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was oversized	the book	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was slip-cased	the book	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was fine press	the book	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was original	the edition of 250	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was limited	the edition of 250	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	was artist edition	the 250	
An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .	were stainless steel faced	the boards	
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	has formed a partnership with	ABS	Habitat for Humanity
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	will be given to	a free Bible	each of Habitat for Humanity's new homeowners
And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .	will be free	a Bible	
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	was	he	in Ali 's army
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	was	he	in the Battle of Jamal
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	was	Ali 's army	in the Battle of Jamal
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	escorted	Muhammad ibn Abu Bakr	Aisha
And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .	was	he	Muhammad ibn Abu Bakr
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	has	Andrea Bianco	atlas of 1436
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	comprises	Andrea Bianco 's atlas of 1436	ten leaves of vellum
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	is in	Andrea Bianco 's atlas of 1436	an 18th-century binding
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	is	Andrea Bianco 's atlas	of 1436
Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .	was bound	Andrea Bianco 's atlas of 1436	in 18th-century
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were built	Apartment buildings	in close proximity to the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were built	medical clinics	in close proximity to the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were built	shops	in close proximity to the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were built	cinemas	in close proximity to the MAZ plant
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were providing with local necessities	Apartment buildings	plant workers
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were providing with local necessities	shops	plant workers
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were providing with local necessities	medical clinics	plant workers
Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .	were providing with local necessities	cinemas	plant workers
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	can use this service to record	Applications	activity for a production system
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	can use the service to record	implementations of other OSIDs	detailed data
Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .	can use the service to record	implementations of other OSIDs	detailed data
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	clashed with	he	Daniel O'Connell
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	was Attorney General	he	
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	insisted on	he	the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland
As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .	was appointed as	Abraham Brewster	Law Adviser to the Lord Lieutenant of Ireland
